,Unnamed: 0,webPageID,address,m3u8link,map_ref,latitude,longitude
0,0,4051--1,NY 454 at 13th Ave,https://s53.nysdot.skyvdn.com:443/rtplive/R10_352/playlist.m3u8,https://511ny.org/map#camera-4051--1,40.815994,-73.144571
1,0,4998--41,Hudson Ave at Norton St,https://s53.nysdot.skyvdn.com:443/rtplive/R4_221/playlist.m3u8,https://511ny.org/map#camera-4998--41,43.18682,-77.59957
2,0,5000--41,Clifford Ave at Hudson Ave,https://s53.nysdot.skyvdn.com:443/rtplive/R4_223/playlist.m3u8,https://511ny.org/map#camera-5000--41,43.201623,-77.598783
3,0,5002--41,Long Pond Rd at Ridgeway Ave,https://s53.nysdot.skyvdn.com:443/rtplive/R4_225/playlist.m3u8,https://511ny.org/map#camera-5002--41,43.213192,-77.701503
4,0,5004--41,Clinton Ave at Court St,https://s53.nysdot.skyvdn.com:443/rtplive/R4_227/playlist.m3u8,https://511ny.org/map#camera-5004--41,43.180373,-77.605079
5,0,5005--41,Dewey Ave at Driving Park Ave,https://s53.nysdot.skyvdn.com:443/rtplive/R4_228/playlist.m3u8,https://511ny.org/map#camera-5005--41,43.207215,-77.639457
6,0,5007--41,Goodman St at Norton St,https://s53.nysdot.skyvdn.com:443/rtplive/R4_230/playlist.m3u8,https://511ny.org/map#camera-5007--41,43.213922,-77.576353
7,0,5008--41,Long Pond Rd at Mill Rd & Vintage Ln,https://s53.nysdot.skyvdn.com:443/rtplive/R4_251/playlist.m3u8,https://511ny.org/map#camera-5008--41,43.257355,-77.696694
8,0,5009--41,Dewey Ave at Stone Rd,https://s53.nysdot.skyvdn.com:443/rtplive/R4_252/playlist.m3u8,https://511ny.org/map#camera-5009--41,43.249483,-77.641363
9,0,5010--41,East Ridge Rd at Seneca Ave,https://s53.nysdot.skyvdn.com:443/rtplive/R4_253/playlist.m3u8,https://511ny.org/map#camera-5010--41,43.195103,-77.608976
10,0,5011--41,Goodman St at Clinton Ave / Henrietta St,https://s53.nysdot.skyvdn.com:443/rtplive/R4_254/playlist.m3u8,https://511ny.org/map#camera-5011--41,43.166114,-77.596089
11,0,5012--41,Culver Rd at Clifford Ave/Empire Blvd,https://s53.nysdot.skyvdn.com:443/rtplive/R4_255/playlist.m3u8,https://511ny.org/map#camera-5012--41,43.176365,-77.557403
12,0,5013--41,Clinton Ave at Norton St,https://s53.nysdot.skyvdn.com:443/rtplive/R4_256/playlist.m3u8,https://511ny.org/map#camera-5013--41,43.186462,-77.613773
13,0,5014--41,Hylan Dr at Mktplc Ctr/Wegmans,https://s53.nysdot.skyvdn.com:443/rtplive/R4_257/playlist.m3u8,https://511ny.org/map#camera-5014--41,43.109328,-77.629683
14,0,5015--41,Winton Rd at Atlantic Ave,https://s53.nysdot.skyvdn.com:443/rtplive/R4_258/playlist.m3u8,https://511ny.org/map#camera-5015--41,43.183276,-77.548916
